@RELATION orient
   @ATTRIBUTE skew NUMERIC
   @ATTRIBUTE count NUMERIC
   @ATTRIBUTE rWidth NUMERIC
   @ATTRIBUTE rHeight NUMERIC
   @ATTRIBUTE regrVar NUMERIC
   @ATTRIBUTE meanHeight NUMERIC
   @ATTRIBUTE stdDev NUMERIC
   @ATTRIBUTE class {0,1}
@Data
5.52754,4,0.05829327,0.01283148,-42.58144,0.01176219,3.774917,1
-0.4166892,8,0.07294118,0.009692132,-36.14497,0.007554162,1.47902,1
2.687969,14,0.0917647,0.01825442,-3260.75,0.008312281,5.434207,0
0,9,0.03778338,0.01068566,-30,0.009498367,0.942809,1
-0.276789,15,0.1599496,0.009795192,-104.5544,0.009617097,0.4,1
0.3331113,24,0.1741935,0.01055033,-2687.497,0.0071286,4.582576,1
-6.340191,4,0.01733871,0.003992016,-53.2439,0.00213858,3.774917,1
5.403791,3,0.01359751,0.004058442,0,0.00261544,3.771236,1
-0.6056411,41,0.3216783,0.009199134,-14378.38,0.006585894,4.892053,1
-0.3006047,50,0.5709677,0.01197946,-10377.94,0.009697661,2.497999,1
-7.406913,4,0.0439247,0.01289283,-22.47497,0.01148268,1.089725,0
9.950626,3,0.04235294,0.01036269,-6.127202,0.008347726,1.699673,0
7.24059,9,0.1129412,0.02072539,-3276.601,0.01256956,5.479479,0
0.550904,20,0.1405604,0.01659221,-23149.93,0.008359923,5.058656,0
3.289243,3,0.02618282,0.01148692,-33.81933,0.007870666,4.189935,0
-0.6902772,5,0.03975959,0.008491182,-212.7896,0.004572175,3.098387,0
0.9877604,3,0.01894187,0.004623209,0,0.004314994,0.942809,1
-0.6227557,12,0.1107544,0.01400233,-48.28777,0.01312719,0.7216879,1
-2.602562,8,0.07234539,0.04494382,-2039.151,0.02407705,6.44205,0
-1.17393,11,0.1430288,0.0106929,-22.04332,0.01034295,0.3856946,1
-1.185632,43,0.5805289,0.0106929,-382.2436,0.01019556,2.056529,1
-10.61965,3,0.02694611,0.01201923,-38.15849,0.01021635,2.94392,0
-0.2229397,16,0.1153846,0.01026518,-1982.013,0.007190975,4.639757,1
-0.4049104,77,0.6334134,0.01368691,-25858.05,0.01136503,5.079699,1
0,5,0.02463942,0.006843456,-28,0.004875962,2.332381,1
-7.352379,7,0.05218135,0.009615385,-933.9263,0.00729739,3.522522,0
-7.288953,8,0.06850962,0.007271172,-386.811,0.005239521,3.191786,0
0.08081204,37,0.3251202,0.01197605,-3327.287,0.007386771,3.414189,1
0.2677353,75,0.5012019,0.0106929,-54795.68,0.008394639,4.791028,1
1.193489,30,0.1688702,0.008982036,-3284.659,0.007256915,2.880779,1
6.94413,4,0.03806672,0.01382212,-958.9608,0.009615385,4.527693,0
-1.968153,49,0.2956731,0.01154833,-35657.36,0.006127686,4.239695,1
-1.481457,11,0.0859375,0.01454234,-12062.92,0.007037872,6.05075,0
1.27303,18,0.1015625,0.006843456,-299.9447,0.005013782,1.483448,1
-10.90127,11,0.1021635,0.0106929,-7641.79,0.007543355,3.867645,0
0.4896956,4,0.02884615,0.008982036,-0.4273192,0.008447391,1.089725,1
3.900494,4,0.02644231,0.007271172,-154.0278,0.005988024,2.738613,1
0,3,0.01862981,0.006843456,-2,0.006130596,1.247219,1
-8.673174,3,0.01924722,0.009014423,-32.72993,0.006410256,3.681787,0
-6.204432,37,0.2895637,0.02403846,-220189.8,0.008981938,8.602156,0
-14.47029,3,0.02163462,0.008126604,-50.26537,0.005988024,3.741657,0
0.4411051,63,0.5174279,0.009409752,-24758.64,0.006958871,2.835189,1
-7.556344,4,0.0276116,0.008233059,-127.4468,0.006333122,2.54951,0
1.139254,13,0.07211538,0.01132404,-2269.253,0.007337175,6.926495,1
-26.56505,3,0.0130662,0.008413462,-20,0.006209936,3.299832,0
0.9877604,7,0.03539823,0.00968661,-72.34056,0.007081807,2.920721,1
-3.964654,3,0.02507122,0.01122694,-177.7994,0.009623095,1.632993,0
0,3,0.01834282,0.007243096,0,0.006941301,0.4714045,1
0.3274009,5,0.1124897,0.014997,-34.86404,0.01367726,1.6,1
3.17983,3,0.05187075,0.014828,-7.310769,0.01265322,2.624669,1
-0.8086376,88,0.6538461,0.0130662,-10041.26,0.00239547,2.70101,1
-1.037697,50,0.5078502,0.00940171,-3031.277,0.006811966,2.74525,1
0.4177018,41,0.4160628,0.01111111,-1378.382,0.008547009,3.19298,1
-5.710593,3,0.01437282,0.007211538,-48.51485,0.004807692,2.94392,0
19.50851,4,0.04311847,0.02103365,-175.9642,0.01652644,7.228416,0
0,8,0.2356771,0.01601602,0,0.01326326,1.920286,1
0.881404,3,0.06666667,0.01176471,0,0.01137255,0.4714045,1
0,3,0.03454546,0.01097179,0,0.009404388,1.414214,1
-9.246113,3,0.02734375,0.01548165,-34.43625,0.008792049,8.259674,0
-8.880659,3,0.03137255,0.007977208,-92.61391,0.004558404,4.24264,0
0.9793196,4,0.04335425,0.01411765,-376.4128,0.01058824,3.354102,0
0.4814658,7,0.07672956,0.01157614,-48.91696,0.01030403,1.399708,1
1.091216,5,0.03104839,0.00855432,-107.8946,0.005759909,6.794115,1
-11.84208,8,0.04584305,0.01244589,-11353.04,0.004531926,11.40997,0
0.3200848,14,0.1112006,0.01197946,-278.9825,0.008760492,3.791101,1
13.7816,3,0.04235294,0.01036269,-129.9906,0.008923431,1.247219,0
1.104156,96,0.4741544,0.01056015,-5691.869,0.006284435,1.647678,1
-1.84761,9,0.04441541,0.008784096,-675.3326,0.006421123,4.228066,1
-0.7957236,3,0.06741573,0.01166861,0,0.0108907,0.942809,1
-1.240675,43,0.5643029,0.01240376,-265.7974,0.01028508,1.311018,1
-0.5070291,7,0.07271635,0.01026518,-89.88583,0.008126604,2.878492,1
0.4794514,11,0.0985577,0.01197605,-286.0992,0.009448635,3.47601,1
0,3,0.01682692,0.00641574,0,0.00641574,0,0
4.159642,3,0.02103365,0.007271172,-5.896087,0.006130596,3.091206,1
-2.353297,5,0.0234375,0.00855432,-314.628,0.005132592,4.857983,1
0.5983676,32,0.1580529,0.008982036,-668.515,0.006014756,2.030048,1
-0.6021857,39,0.242515,0.01862981,-118255.9,0.005408654,4.706787,0
7.352379,3,0.01862981,0.007271172,-177.7503,0.004847448,4.921607,1
-0.5161642,4,0.03485577,0.01454234,-146.4288,0.009730539,7.790218,1
3.544766,4,0.04148845,0.02463942,-729.0605,0.01352163,10.73546,0
0.4720894,103,0.5697116,0.008982036,-35561.17,0.006681505,2.842522,1
0.702693,72,0.5036058,0.008982036,-14699.72,0.006807813,2.430992,1
